assistantPhone,birthday,callbackPhone,carPhone,company,companyPhone,description,department,dlist,email,email2,email3,fileAs,firstName,fullName,homeCity,homeCountry,homeFax,homePhone,homePhone2,homePostalCode,homeState,homeStreet,homeURL,initials,jobTitle,lastName,middleName,mobilePhone,namePrefix,nameSuffix,nickname,notes,office,otherCity,otherCountry,otherFax,otherPhone,otherPostalCode,otherState,otherStreet,otherURL,pager,workCity,workCountry,workFax,workPhone,workPhone2,workPostalCode,workState,workStreet,workURL,type
,,,,,,,,,user01@testdomain.com,,,,,user01,,,,,,,,,,,,user01@testdomain.com,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,user02@testdomain.com,,,,,user02,,,,,,,,,,,,user02@testdomain.com,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,user03@testdomain.com,,,,,user03,,,,,,,,,,,,user03@testdomain.com,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,user04@testdomain.com,,,,,user04,,,,,,,,,,,,user04@testdomain.com,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,user05@testdomain.com,,,,,user05,,,,,,,,,,,,user05@testdomain.com,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,user06@testdomain.com,,,,,user06,,,,,,,,,,,,user06@testdomain.com,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,user07@testdomain.com,,,,,user07,,,,,,,,,,,,user07@testdomain.com,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,user08@testdomain.com,,,,,user08,,,,,,,,,,,,user08@testdomain.com,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,user09@testdomain.com,,,,,user09,,,,,,,,,,,,user09@testdomain.com,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,user10@testdomain.com,,,,,user10,,,,,,,,,,,,user10@testdomain.com,,,,,,,,,,,,,,,,,,,,,,,,,,
